Titre,Nom,Adresse,Salaire,Contrat,Descposte,date,Metier
ALTERNANCE - INGÉNIEUR ANALYSTE MÉTIER - H/F,Enedis,- Nanterre (92),,,"Enedis est une entreprise de service public, gestionnaire du réseau de distribution d'électricité. Elle développe, exploite, modernise le réseau électrique et gère les données associées. Ses 38 000 collaborateurs assurent chaque jour les raccordements des clients, le dépannage 24 h / 24, le relevé des compteurs et toutes les interventions techniques.
Elle est indépendante des fournisseurs d'énergie qui sont chargés de la vente et de la gestion du contrat de fourniture d'électricité. Enedis recrute de nombreux collaborateurs pour contribuer au renouvellement des compétences.

Rejoignez-les !

La DSI d’Enedis se positionne comme partenaire des métiers et cultive sa dimension entrepreneuriale et d’anticipation au service d’Enedis, de ses clients et des territoires. Elle propose une offre de services industrielle, performante et innovante, garantissant l’agilité du SI dans un contexte de forte numérisation des métiers Avec un effectif d’environ 550 collaborateurs, la DSI est au cœur des transformations d’Enedis. Engagée notamment dans l’essor des solutions SmartGrids, dans l’adaptation du SI à la transformation numérique ou dans le positionnement d’Enedis comme opérateur de données, la DSI met en œuvre de nombreux projets SI majeurs en lien avec les différents métiers concernés. Au sein de la direction des systèmes d'informations (pôle CLIFFS) d'Enedis, une entité transverse à la DSI est missionnée pour sécuriser la chaîne du Marché d'Affaires (MAFF) (clients de puissance de soutirage et d'injection >36kVa). Cette sécurisation passe par la cohérence et le bon fonctionnement des SI(système d'information) composants la chaîne MAFF pour le distributeur d'énergie Enedis (du SI de gestion contractuelle jusqu'au SI de facturation - Pas moins de 7 SI composent directement cette chaîne). Les missions de cette entité sont très variées et offre une vision très large des activités de autour du SI, ainsi qu'une bonne vision du SI d'Enedis. On y retrouve du pilotage projet, de l'analyse fonctionnelle, de l'accompagnement au changement, du support aux utilisateurs, du contrôle de cohérence de données, etc. La particularité de l'équipe est d'interagir avec une multitude d'acteur d'Enedis, tous les pôles de la DSI, le métier et les utilisateurs de cette chaîne.Cette interaction implique un grand sens du relationnel afin de conserver les bonnes relations qu'a mis en place cette entité avec tous ses partenaires. Rejoindre l'équipe de la sécurisation de la Marché d'Affaires, c'est : - Rejoindre une équipe d'experts du métier et du SI - Collaborer avec toute les entités de la DSI - Collaborer et comprendre le métier national, ainsi que les enjeux du monde de l'électricité, mais aussi les utilisateurs sur le terrain - Travailler pour une multitude d'applications utilisant des technologies différentes (SAP, Big Data etc..).

La mission principale qui sera confiée portera sur la réalisation de la modélisation de tous les processus concernés par le Marché d'Affaires, en partenariat avec les différentes parties prenantes, Métier, Urbaniste, Architecte, Projet SI, équipes de cadrages etc.… Cette mission pourra être accompagnée par des missions plus ponctuelles : - D'analyse problèmes sur la chaîne Marché d'Affaires, avec présentation et préconisation de correction - Gestion de projets transverse : - Cadrage - Instruction - Suivi jusqu'à la mise en production Ainsi que d'aide au pilotage de l'équipe de la sécurisation de la chaîne Marché d'Affaires Cette mission pourra être adaptée en fonction du profil/envie et du besoin du projet de sécurisation. Conformément aux engagements pris par Enedis en faveur de l'accueil et de l'intégration des personnes en situation de handicap, cet emploi est ouvert à toutes et à tous sous réserve de l'accord de la médecine du travail. Bénéfices de cette alternance : -Compétence sur les processus du Marché d'Affaires d'Enedis -Vue Métier, Urbanistique, Architecture SI - Gestion de projets transverse : - Cadrage - Instruction - Suivi jusqu'à la mise en production - Pilotage de l'équipe de la sécurisation de la chaîne Marché d'Affaires.

Compétences comportementales requises : Travail collaboratif - Capacité d'analyse et de synthèse - Autonomie - Relationnel

Rythme : De préférence 2J ecole ou université /3J entreprise

Conformément aux engagements pris par Enedis en faveur de l'accueil et de l'intégration des personnes en situation de handicap, cet emploi est ouvert à toutes et à tous sous réserve de l'accord de la médecine du travail.",5 j,data_analyst
"BUSINESS ANALYST, SALES & MARKETING OPERATIONS",Mirakl,- Paris (75),,,"The most disruptive and dominant digital players - Amazon, Alibaba, AirBNB, Uber - have one thing in common: they are marketplaces. Whether you call it the Platform Revolution, the Ecosystem Model or Marketplace, the next generation of digital commerce is happening now and disrupting traditional models. Mirakl is leading this revolution.
We are a fast-growing, global, cloud technology company, and the leader in Marketplace Operations Applications. We enable the world’s leading B2C and B2B companies - Carrefour, Conrad, DelaMaison, El Corte Inglés, Darty, HP and 150 more in 40 countries - to Offer More, Learn More and Sell More. Mirakl helps retailers, distributors, manufacturers & brands to transform their digital commerce strategy to encompass the marketplace business model.
We are seeking a highly motivated, dynamic and data-oriented profile to manage sales operations activities deployed by Mirakl. The main missions will be the following ones:
1) Analytics:
Create and provide business reportings for both Sales/Marketing leaders and teams.
2) Sales Analytics
Contribute to create appropriate KPIs, alerts to efficiently monitor BDR & Sales performance.
Run in-depth monthly business analysis, highlight key learning / actionable items, provide business recommendations (what needs to be changed, etc).
3) Marketing Analytics
Google Analytics reporting : create report, explore new features that could bring value to our business
Create and run marketing performance reporting (channel ROI, etc).
4) Tools & Processes
Perfectly mastering sales and marketing tools : Sales Force, Hubspot, YesWare.
Set up processes, enforce guidelines (SLAs, etc) in the teams to ensure reporting accuracy.
Support the team on tools adoption & usage.
Requirements
The ideal candidate will have:
Graduated a Master’s Degree in Business, Marketing or Finance
2+ years of experience ideally in Strategy Consulting or Finance
Strong analytical and presentation skills
Strong powerpoint and excel skills (formulas, pivot tables)
Salesforce knowledge would be a plus
French & English fluency",30+ j,data_analyst
ANALYSTE ET GESTIONNAIRE DE CAMPAGNES (H/F) CONTRAT À DURÉE DÉTERMINÉE,Alphabet France Fleet Management,- Rueil-Malmaison (92),,,"Rattaché(e) au Chef du département Marketing et Business Développement, vos principales missions sont les suivantes:

Participation à la construction des campagnes marketing de conquête (emails, envois postaux, sms, mms) et de fidélisation clients.
Déterminer le ciblage des campagnes (e-mailings, mailings….), veiller à la cohérence des actions menées avec les objectifs visés.
Piloter la gestion des campagnes avec les prestataires et dans l'outil Eloqua (outil de gestion de campagnes) : planification, paramétrage, diffusion et suivi des indicateurs de performance (délivrabilité, taux d'ouverture, de clics, de conversion…)
Création des supports de campagnes (emailing, mailing….) avec les outils internes ou en lien avec les agences.
Calculer et mesurer les performances des campagnes (KPI's, ROI) pour en établir les bilans.
Proposer des analyses détaillées sur les campagnes réalisées et être force de recommandation pour leur optimisation (A/B testing, automatisation, personnalisation…)
Etes le garant du respect des plannings d’envoi, et le suivi qualité (technique et succès des campagnes),
Diplômé(e) d'un Bac+5 en école de commerce, d'ingénieur, ou d'une formation universitaire avec une spécialisation Marketing, Etudes, Statistiques, CRM ou data-science.
Vous avez 2/3 ans d'expérience dans le datamining et la gestion de campagnes CRM (stages inclus). Une connaissance approfondie d'un outil de gestion de campagnes, idéalement Eloqua, est requise, ainsi que la maîtrise du langage HTML. Votre maîtrise de SAS, SPSS ou SQL est un plus dans le cadre des ciblages.
Très bonne maitrise d’Office, notamment Excel et Access
Connaissances en Responsive Design et Outil Indesign
Force de proposition, vous faites preuve d'autonomie, de rigueur et d'organisation. Vous disposez de capacités analytiques reconnues, ainsi que d'un excellent sens relationnel qui vous permet de vous adapter à vos interlocuteurs.
Anglais courant (oral et écrit)",30+ j,data_analyst
BUSSINESS ANALYST / MOA BANQUE ASSURANCE F/H,OCEANE CONSULTING CS,- Paris 2e (75),45 000 € - 65 000 € par an,,"En tant que Business Analyst / Product Owner vous serez rattaché à l’entité Conseil et AMOA, vous aurez pour mission d’intervenir sur le SI d’un de nos clients grands comptes Banque ou Assurance.

Vous aurez à réaliser :
Être l’interlocuteur entre les différentes parties prenantes du projet,

Le cadrage fonctionnel du projet,

Recueillir et analyser le besoin du client,

Rédiger l’expression de besoin,

Rédiger les spécifications fonctionnelles générales et détaillées,

Gérer les phases de recette fonctionnelle,

Suivre les projets, planifications, risques, budgets,

Réaliser les supports de formations pour les utilisateurs finaux,

Former les utilisateurs finaux,

Garantir la qualité des livrables,

Participer aux réunions

Assurance (Santé, Prévoyance, Epargne, IARD, Transformation Digitale…) ou Banque (CIB, Retail Banking, Cash Management, Trade Finance, Risks, LAB/LFT…)

Environnement technique : ALM Quality Center, requêtes SQL,

Méthodologie : Cycle V, Agile (Scrum, Kanban…)
Profil recherché De formation Bac+4/5 (Master, école de commerce, Ingénieur…) vous avez une expérience d’au moins 2 ans sur un poste de consultant fonctionnel, business analyst ou chef de projet fonctionnel dans les secteurs banque et/ou assurances. Vous avez une bonne compréhension des métiers de la banque ou de l’assurance. Idéalement vous maîtrisez la méthodologie Agile et les outils ALM QC, Jira, etc. La maîtrise de l’anglais est fortement appréciée.
Entreprise Océane Consulting est groupe dynamique et en croissance constante depuis 2009, il représente plus de 350 consultants pour un chiffre d’affaire de 27 M€ à fin 2017, et, aussi :

Une présence à Paris, dans les régions Nord et Grand Ouest et à Casablanca au Maroc,

Plusieurs dizaines de clients actifs avec une forte stratégie d’expansion,

Une Direction Commerciale et une Direction Technique à votre écoute.

Océane Consulting propose son expertise autour des métiers suivants :

Le Conseil et l’Expertise Métier (AMOA) : Banque, Finance, Assurance, E-Commerce, Industrie, Média, Loisirs…

L’Expertise Technologique : Java/J2E, .net, PHP, EAI/BPM (Tibco, WebMethods), Portails (Liferay, Sharepoint, DRUPAL), les solutions front (Angular / React..)

L’expertise dans les usages (UX/ UI Designer) et l’Accessibilité Numérique (RGAA)

Le Management des Infrastructures et des Systèmes,

Le Data Management : Gestion des contenus et données, Dématérialisation, GED & DAM

Océane Consulting est aussi éditeur de solution.

Travailler chez Océane Consulting, c’est bénéficier de nombreux atouts :

Un management de proximité et la réactivité d’une structure à taille humaine,

Un suivi de mission et un accompagnement professionnel attentif,

Une expertise technique à la hauteur des enjeux actuels via des programmes de formations adaptés

L’organisation fréquente d’événements d’experts et d’évènements de détentes",22 j,data_analyst
INGÉNIEUR ETUDES DATA-(H/F),Boursorama,- Boulogne-Billancourt (92),,CDI,"Environnement

Avec près de 800 collaborateurs, Boursorama, filiale à 100% de la Société Générale, déjà pionnier, est aujourd’hui le leader de la banque en ligne. Boursorama Banque est recommandée par 90% de ses clients et est la banque la moins chère depuis 10 ans.

Expert du courtage en ligne, Boursorama offre aujourd’hui accès à l’ensemble des produits négociables en Bourse.

Enfin, premier site d’information économique et financière, le portail boursorama.com diffuse l’actualité boursière et économique et compte plus de 30 millions de visites mensuelles.
Nos clients sont au cœur de notre ambition, pour leur satisfaction, Boursorama s’appuie sur 3 valeurs : l’innovation, l’engagement et la transparence.

Aujourd'hui, plus de 1.7 million de clients nous font confiance et Boursorama ambitionne de dépasser les 2 millions de clients à horizon 2019.

Pourquoi Intégrer l’équipe data ?

- Accompagner Boursorama dans sa croissance et la mise en œuvre de sa roadmap

- Rejoindre une équipe de 17 personnes dynamiques et passionnées par la data

- Porter l’approche Datadriven et piloter la transformation du SI data

- Collaborer sur tous les domaines d’activité data : BI et analytique, big data, Datascience et IA, master data management et qualité des données

- Travailler dans un contexte agile

- Porter des approches novatrices

- Intervenir sur des sujets et métiers transverses : Marketing, risque, finance / banque, bourse, média
Mission

Le Data Analyst a pour mission d’apporter des réponses concrètes aux différentes directions métiers en faisant parler nos données. Il occupe une position centrale au cœur de la stratégie de Boursorama.
A partir d’une problématique, de ses connaissances techniques, statistiques et d’une approche de fouille de données, il produit des résultats visuels.
Doté d’un excellent relationnel et d’un fort esprit de synthèse, il sait challenger les demandes, les prioriser et identifier ce qui fait sens pour dégager de la valeur.
Il échange constamment avec les différentes directions pour présenter ses résultats régulièrement au travers d’outils graphiques, visuels et synthétiques. Véritable « story tailer », il sait accompagner ces analyses d’explications concrètes.

Intégré à l’équipe data, il intervient en phase de cadrage des projets, mais également constamment sur tout type de demande métier pouvant aller jusqu’au top management.

Il travaille dans un contexte agile au sein d’une équipe pluridisciplinaire et d’experts passionnés par la data et les nouveaux usages.

Vos missions sont les suivantes :

Challenge, cadrage et priorisation des besoins métiers

Exploration et fouille de données, des opportunités offertes et présentation des postulats


Mesure de l’efficacité : calcul de ROI, d’efficacité opérationnelle et de réduction de risque


Gestion de projet analytique


Formation des utilisateurs
Profil

De formation de type école d'ingénieur en informatique ou universitaire, vous avez 3 à 5 années d’expérience minimum dans un environnement similaire .
Connaissances techniques demandées :

Tableau Software : Expertise


Langage SQL : Expertise


Techniques de visualisation de données : Expertise


- Statistique - R / Python / Scala (Spark ML) : Connaissance


Gestion de projet (Agile et connaissance des approches en V)
Nice to have :

- Connaissance d’un ETL

Connaissance traitement de données sur Hadoop : CQL, HIVE, Spark SQL, Presto DB

Connaissance d’outil et d’approche en datascience : R / Python et note book associés

Connaissance framework javascript type D3JS

- Connaissances en modélisation d’entrepôt de données / datalake

Avant de déposer votre candidature, nous vous proposons, si vous le souhaitez, une immersion dans nos locaux afin d’en découvrir un peu plus sur nous en cliquant sur ce lien :
https://welcome-boursorama.visiotalent.com/boursorama/",30+ j,data_analyst
UX WEB ANALYST H/F,Back Market,- Paris (75),,,"TA MISSION (SI TU L'ACCEPTES):
Comprendre et expliquer la performance business des sites dans tous les pays où nous sommes présents via nos outils d’Analytics (GA 360, Content Square, Hotjar)
Répondre aux demandes d’analyses des équipes Marketing et Produit pour l’ensemble des marchés européens ainsi que les États-Unis.
Exécuter la stratégie d'automatisation des reports : construire et alimenter des reportings avancés permettant de monitorer l’expérience client (performances techniques du site etconversion)
Développer un système automatisé d'alertes afin de détecter les variations de performance, expliquer leurs causes et mesurer leurs impacts
Identifier les typologies de parcours utilisateurs présentant les opportunités de croissance de conversion/chiffre d'affaires
CE JOB EST FAIT POUR TOI & TU ES AU BON ENDROIT SI…
Tu as 2/5 années d’expérience
Tu as un profil analytique et quantitatif (tu aimes les chiffres plus que les mots)
Tu es passionné(e) pour l’analyse web, le déni du statu quo (tu redécouvres les sites chaque jour)
Google Analytics, SQL et Excel n’ont pas/plus de secret pour toi
Tu sais faire parler la data pas juste pour faire joli mais aussi pour le bien du business
Tu es curieux(se) et proactif(ve) dans tes analyses et force de proposition pour améliorer la performance
Tu es rigoureux(se)
L'esprit d'équipe est essentiel pour toi
English is a no-brainer
Pourquoi nous ?

o Des challenges techniques à relever au quotidien : avec nous, tu n’auras pas le temps de t’ennuyer !

o Un groupe d’experts qui t’apporteront leur savoir-faire technique et te permettront de monter en compétence sur ton domaine de prédilection mais pas que ! (Backademy, guildes techniques, Meet-up & Conférence)

o Un salaire attractif, des stocks (BSPCE), avantages multiples (tickets restos, mutuelle, etc...), Fruits et petit dej, plusieurs jours de remote par semaine, journée avec des collègues sympas et et évènements offsite fréquents

o Des perspectives d’évolution avec la possibilité de changer de team feature tous les 1 ans et différents plans de carrières possibles

o Un job qui a du sens : à travers ton travail, tu convaincras des gens d’acquérir des produits ayant déjà vécu au lieu de les acheter neufs. Ce qui signifie réduire la production de déchets électroniques et lutter contre la surproduction. Ça compte.

o Un projet en forte croissance : 3 fondateurs il y a 4 ans. A présent, on est plus de 140, et on a ouvert dans 6 pays différents. Boom.

o Du groove, plein : tu auras l’opportunité de bosser avec des gens talentueux et super sympathiques.

Sauve la planète... rejoins Back Market !

Process de recrutement :
Pré qualification téléphonique avec notre recruteur
Test technique
Entretien technique et relationnel avec le Head of Product et l'équipe technique.
Rencontre avec la DRH, CTO & CEO

Ce poste est ouvert à toutes les personnes en situation de handicap !",5 m,data_analyst
BUSINESS ANALYST DÉMATÉRIALISATION (H/F) / FREELANCE,INFOGENE,- Hauts-de-Seine,450 € par semaine,,"INFOGENE est une ESN de 450 collaborateurs spécialisés sur 5 pôles d’expertise :
Digital, BI/Big Data, AMOA Ingénierie, Infrastructure, SAP
Son implantation sur 3 régions (Paris, Lyon et PACA) permet de proposer des missions sur les secteurs : Pharma, Cosmétique, Chimie, Banque, Assurance, Retail, Media, Télécom

Je cherche pour un de mes clients un business analyst dématérialisation

Description de la mission :
Assurer l’acheminement et la qualification / indexation de l’ensemble des flux entrants dématérialisés.
Poursuivre la mise en uvre de nouveaux services autour de smartFix
Poursuivre le développement de solution pour automatiser l’indexation des flux entrants.
Définir les besoins métiers et les challenger
S’assurer de la cohérence produit livré/ besoin métier
Participer au pilotage global de l’équipe (Communication métier, Remontées de alertes, identification des risques, etc )
Le cas échéant, assurer la phase de qualification fonctionnelle
Garantir la qualité des Users Stories et du Produit
Etre en capacité d’élargir sa vision au-delà des problèmatique purement IT
Etre en capacité de challenger les coûts proposés et suivre les contributions
Compétences fonctionnelles :
5 d’expérience
En capacité d’animer des ateliers AGILES d’expression de besoin
En capacité d’être polyvalent sur des taches de TEST
Briefing des équipes de DEV et Qualification
Participation et / ou animation de cérémoniaux AGILES.
Bonne maitrise de l’agilité, idéalement Scrum / Kanban
Compétences techniques :
Maitriser la méthode de conduite de projets agile et les outils associés
Adopter une approche orientée fonctionnalités / résultats plutôt que basée sur des taches à réaliser
Etre capable de mesurer la valeur métier d’un incrément du produit livré (au niveau des Minimal Marketable Feature et/ou User Story)
Etre capable de traiter des sujets à risque et sous contraintes
Avoir une bonne connaissance des techniques pour la conception des User Stories
Etre capable de définir des User Stories et des scenarii de tests
Merci de me transmettre votre candidature à l’adresse suivante : rim.aoudia@infogene.fr",6 j,data_analyst
MARKETING ANALYST CONFIRMÉ F/H,HARNHAM,- Paris 1er (75),45 000 € - 55 000 € par an,,"LE RÔLE

Vous rejoindrez le département Marketing Data en tant que Marketing Data Analyst Confirmé et aurez en charge la supervision du développement et de l’utilisation de la data. A savoir :

L’analyse des données et l’identification de nouvelles sources pertinentes

La gestion et le support de bases de données

Rendre accessible les données à travers des outils de Data visualisation

Le développement de l’architecture de tracking et la création d’outils

La création et la gestion des reporting
Profil recherché VOTRE PROFIL

Bac +5 en informatique, datamining ou mathématiques

Une solide expérience de minimum 3 ans en tant que Data Analyst

Maîtrise des outils et langages informatiques tels que SQL, R, Python et Tableau

Une première expérience dans le digital serait un plus

POUR POSTULER

Si vous êtes intéressé, merci de faire part de votre CV à Maria Cvitkovic.
Entreprise MARKETING ANALYST CONFIRMÉ (H/F)

PARIS, France (75)

45K€ – 55K€/an

A la recherche d’un nouveau challenge ? Cette société recherche un Marketing Data Analyst Confirmé pour l’accompagner dans sa croissance exponentielle. Si vous aimez faire parler la data, ce poste est fait pour vous !

LA SOCIÉTÉ

La startup la plus innovante du marché des nouvelles technologies audiovisuelles recherche son futur Marketing Data Analyst afin de l’accompagner dans son développement. Bien qu’elle ait connu une croissance rapide ces dernières années, elle n’en est qu’au début et n’a pas l’intention de s’arrêter là !",30+ j,data_analyst
DATA ANALYST USINES - BUSINESS ANALYTICS (H/F),Renault,- Guyancourt (78),,,"Votre environnement de travail

La Direction du manufacturing et de la Supply Chain de Renault SAS est en pleine transformation digitale. Le département qui en a la charge doit piloter sa mise en œuvre, la mesure et l’exploitation des données, au service de la performance des 11 sites industriels France.

Vous rejoignez une équipe qui a la charge du déploiement de projets digitaux et des innovations dans l'ensemble des Usines Renault en France.

Le poste est basé à Guyancourt (78) ou à Douai (59) selon votre préférence.

Vos missions

Rattaché(e) au Responsable Digital France de la Direction Fabrication et Supply Chain, vous suivez la mise en place dans les usines de la collecte des données. Vous êtes le (la) garant(e) des données digitales.

Vous collectez les données à partir des moyens de production en traduisant les besoins des départements de Fabrication.

Vous vous assurez avec les équipes techniques de l’intégrité, l’homogénéité et la qualité des données collectées.

Vous accompagnez également la Fabrication dans l’analyse des données digitales des différentes directions vers le « data-driven ». Vous aidez à la définition des KPIs qui sont à mesurer, dans l’exploitation et l’analyse des données.

Vous fournissez ainsi les extractions et analyses de données pour alimenter les réflexions sur l’optimisation des moyens de production.

Votre rôle vous amène à mettre en place la stratégie d’activation des données en collaboration avec les autres équipes. Vous mettez en place des projets de valorisation de la donnée : prédictif, optimisation de maquette, tableaux de bord…

Vous travaillerez en étroite collaboration avec différentes directions telles que la Direction Informatique de Renault (DIR) et les correspondants Fabrication en Usine.

Vous serez amené(e) à vous déplacer régulièrement sur les différents sites industriels en France.

Votre rôle est d’apporter votre expertise digitale au service de la production.

A votre arrivée, nous vous proposerons un dispositif d’accueil pour vous permettre de mieux connaître votre entité, le Groupe et ses enjeux, et de rencontrer d'autres nouveaux embauchés. Vous pourrez par la suite bénéficier de formations tout au long de votre parcours professionnel dans l’entreprise.

Qui êtes-vous ?

Diplômé(e) d’une école d’ingénieur généraliste ou d’un Master 2, vous disposez d’une expérience terrain éprouvée dans l’industrie, et idéalement dans l’analyse de données. Vous avez acquis au minimum 3 ans d'expérience à un poste similaire.

Vous maitrisez au minimum une solution de Business Analytics.

Vous avez déjà une première expérience dans l'exploitation d'un Datalake et êtes sensibilisé(e) aux méthodes de développement agiles.

Vous êtes orienté(e) Métier et possédez un excellent esprit d’analyse de synthèse. Vous avez un très bon relationnel et savez interagir avec des experts. Enfin, vous disposez d'une capacité d'autonomie et de travail dans des environnements de travail complexes.

Un niveau minimum de 750 au TOEIC est requis pour ce poste. Si vous n'avez pas encore passé le TOEIC au moment de votre candidature, vous pourrez le faire au cours du processus de recrutement de Renault.


Vous souhaitez participer à l'aventure de l'automobile de demain ? Rejoignez-nous !

#MoveOurWorldForward

Vous souhaitez participer à l'aventure de l'automobile de demain ?
Rejoignez-nous!",28 j,data_analyst
ANALYSTE EN NOUVELLES SOURCES DE DONNEES POUR LE SUIVI DES MARCHES IMMOBILIERS - H/F,La Banque de France,- Paris (75),,Stage,"Présentation de la Direction générale
La Direction Générale de la Stabilité financière et des Opérations (DGSO) exerce une grande partie de ses activités dans le cadre de l'Eurosystème : mise en oeuvre de la politique monétaire, conduite des opérations de change, gestion des réserves, promotion du bon fonctionnement des systèmes de paiement, stabilité financière sont autant de domaines dans lesquels la DGSO est un acteur majeur.

Présentation du Service
Au sein de la DGSO, le service de la politique macroprudentielle est notamment en charge des thèmes : politique macro-prudentielle et instruments macro-prudentiels, indicateurs de risque systémique, phénomènes de contagion, analyse des risques, réponses apportées et conséquences sur l’économie réelle.

Descriptif de mission
Ce stage vise à mettre en place une base de données exploitant des données non traditionnelles pour suivre les marchés immobiliers et à développer des indicateurs pertinents à partir de ces données. Il s’articulera autour de diverses missions selon les projets qui auront démarré / seront en cours, dont (1) développement d’outils de webscrapping pour création de base de données et de (2) méthodes de curation pour l’identification des redondances, notamment, traitement des images, (3) appariements avec des données spatialisées, (4) développement d’indicateurs et de solutions de data visualisation associées. Le stagiaire devra majoritairement coder (Python et/ou R).
Ce stage est proposé dans le cadre d’une coopération avec le Data Lab de l’Institut Louis Bachelier ; à ce titre, il bénéficiera d’interactions avec les équipes de l'Institut dont des académiques de premiers plan lorsque les sujets deviennent complexes.

Profil recherché
Formation recherchée :
Bac +5 en école d’ingénieur ou formation équivalente avec une forte composante data science.
Compétences :
Bonnes bases en statistiques (data science), connaissance en Python et/ou R, des connaissances en microéconomie peuvent être un plus.
Qualités :
Curieux (pas uniquement en mathématiques), autonome et force de proposition.

La Banque de France est une institution socialement responsable, attachée à la diversité de ses personnels. Des aménagements de poste peuvent être organisés pour tenir compte des handicaps des personnes recrutées.",22 j,data_analyst
IT BUSINESS ANALYST BI (H/F),Ubisoft,- Montreuil (93),,,"Job Description

Le poste est à pourvoir à la DSI du Siège International d’Ubisoft à Paris, et plus particulièrement au sein du département « Entreprise Data ».
Le rôle de notre futur BI Analyst est de faire le lien entre les équipes métiers (CRM, Marketing et Customer Support) et les équipes techniques (Architectes, Développeurs) pour transformer les besoins métiers en solutions BI efficaces et durables.
Vous participerez à la vie de la plateforme BI centrale du groupe. Vous interviendrez donc sur 3 grandes phases : l’intégration des données clients (spécifications, testing, documentation), le reporting et le support aux utilisateurs.
A ce titre, vos missions principales seront les suivantes :
Travailler en étroite collaboration avec le Project Manager, les équipes métiers (CRM, Marketing et Customer Support), les équipes techniques (Architectes, Développeurs) et les autres équipes BI ;
Animer ou participer à des ateliers de recueil du besoin ;
Rédiger des spécifications fonctionnelles en collaboration avec les architectes et à destination des développeurs pour l’intégration ou la propagation des données ;
Développer et appliquer des cas de test pour vous assurer du bon fonctionnement des flux de données ;
Réaliser des requêtes SQL complexes dans le but d’extraire les données ;
Développer, mettre en forme et maintenir les reportings les plus pertinents possibles à destination des équipes CRM, Marketing et Customer Support, et du management ;
Participer à la documentation du projet et au partage de connaissances avec les utilisateurs ;
Participer au support aux utilisateurs de la plateforme BI ;
Participer aux réunions agiles : daily stand-ups, sprint plannings, reviews et démos.

Qualifications

Background
Master en systèmes d’information ou équivalent ;
Expérience minimum de 2 ans dans le domaine de la Business Intelligence ;
Expérience de travail dans un contexte international.
Compétences requises :
Très bon esprit analytique et de synthèse ;
Excellente maîtrise du SQL dans la création de requêtes complexes et l’extraction de données ;
Connaissance de Teradata ou SQL Server ;
Connaissance d’un outil de reporting en mode développeur (si possible Tableau) ;
Bonnes capacités de communication écrites et orales (que ce soit en anglais ou en français) ;
Rigueur, flexibilité et curiosité dans votre travail ;
Capacité à gérer des situations complexes nécessitant ouverture d’esprit et diplomatie ;
Anglais courant impératif.
Bonus :
Expérience dans un environnement Big Data et avec un écosystème Hadoop ;
Bonne connaissance des données clients et des processus métiers Marketing et CRM ;
Connaissance de la gestion de projet (si possible méthodologie Agile) ;
Connaissance du secteur du jeu vidéo et expérience en tant que joueur.

Additional Information

null",30+ j,data_analyst
STAGE – ASSISTANT(E) ANALYSTE SUPPLY CHAIN H/F,Clarins,- Paris (75),,Stage,"Rattaché(e) à la cellule Master Data Management (MDM) & Achats du département Supply Chain du Groupe Clarins, vous accompagnez l'équipe dans la mise en place du pilotage international de la base produit. Ainsi vous prenez en charge la production des reporting destinés à assurer un référentiel produit de qualité et à optimiser nos contrôles de cohérence.

Missions :

1) Participer à l'amélioration globale du processus de production des reporting MDM :
Vous travaillez avec les différents départements Supply Chain afin d'optimiser la création de nouvelles références (Product Master Data).
Vous êtes en charge de l'intégration des nouveaux rapports/indicateurs dans le processus d'élaboration des tableaux de bord.

La création de références nécessite la sollicitation de multiples services de la Supply Chain tel que l'Administration des ventes, la finance, la logistique, le développement packaging etc..
Ces données sont clés dans un monde où l'information doit être accessible en un clic et partout.
Le collaborateur sera amené à consulter tous les services afin d'optimiser leurs étapes tout en la fiabilisant. Il devra étudier la pertinence des informations renseignées mais également optimiser les différents rapports de cohérences.

2) Organiser la mise en place du titre d'Exportateur Agréé :
Vous travaillez avec les différents départements Supply Chain et fournisseurs afin de constituer le dossier nécessaire à l'obtention du titre d'Exportateur Agréé.
Vous êtes responsable de ces nouvelles données dans l'ERP et êtes garant de leur intégrité.

Le titre d'Exportateur Agréé et la notion de pays d'origine préférentiel, permet lors du passage en douane des produits du groupe Clarins, de bénéficier d'une tarification douanière spécifique. Aujourd'hui, le groupe Clarins doit être capable de revendiquer et prouver ce titre grâce à vous.
Clarins group tend vers un marché omnicanal. La précision et la fiabilité de ces données est donc indispensable.

3) Mettre en place les bonnes pratiques Supply Chain sur la détermination du Made In:
Vous développez un nouveau support de formation afin de sensibiliser les différents départements Supply Chain sur l'importance de cette données.
Vous effectuez la formation des équipes
Vous coordonnez l'optimisation du référentiel produit basée sur les retours des différents départements

Le référentiel produit est au centre de tous les services et permet de parler un langage unique. Après la mise en place de ce référentiel produit unique il y a 3 ans, certaines données nécessitent un contrôle particulier de par leurs sensibilités.
Profil
De formation supérieure Bac +4/5, école d'ingénieur ou cycle universitaire avec une spécialisation Supply Chain et/ou analyse de données, vous justifiez d'une première expérience réussie en entreprise et savez travailler facilement en équipe. Une connaissance parfaite d'Excel est requise.
Vous êtes reconnu(e) pour votre rigueur, votre proactivité, votre esprit d'analyse et de synthèse.
Localisation du poste
Lieu
PARIS
Critères candidat
Niveau d'études min. requis
Maîtrise, IE, IUP, Bac + 4
Diplôme
Master Pro / DESS
Niveau d'expérience min. requis
Etudiant(e)
Langues
Anglais (Courant)",30+ j,data_analyst
